f.airline,orig.name,dest.name
20304,PHX,SEA
19977,ORD,SEA
19977,DEN,SEA
19977,IAH,EWR
19977,MCO,EWR
19977,HNL,EWR
19977,LAX,EWR
19977,ORD,EWR
19977,LAX,EWR
19977,DEN,EWR
19977,SFO,EWR
19977,SFO,EWR
19977,SFO,EWR
19977,FLL,EWR
19977,SAT,IAH
19977,IAD,IAH
19977,SLC,IAH
20304,BHM,IAH
19977,SNA,IAH
19977,HNL,IAH
19977,ORD,IAH
20304,BHM,IAH
19977,BOS,IAH
20304,PBI,IAH
19977,LAX,IAH
20304,BHM,IAH
19977,ORD,IAH
20304,BHM,IAH
19977,EWR,IAH
19977,SFO,IAH
19977,IAH,MCO
19977,IAD,MCO
19977,SFO,MCO
19977,IAH,MCO
19977,IAD,MCO
19977,EWR,LAX
20304,FAT,LAX
20304,ABQ,LAX
20304,SLC,LAX
19977,SFO,LAX
20304,SLC,LAX
20304,FAT,LAX
20304,FAT,LAX
20304,FAT,LAX
19977,ORD,LAX
19977,HNL,LAX
20304,SLC,LAX
20304,ABQ,LAX
19977,ORD,LAX
20304,SLC,LAX
20304,TUS,LAX
20304,ABQ,LAX
20304,TUS,LAX
20304,ABQ,LAX
19977,IAH,FLL
19977,DCA,ORD
19977,IAD,ORD
19977,MSP,ORD
20304,BNA,ORD
19977,SAN,ORD
20304,CVG,ORD
19977,MSP,ORD
20304,BNA,ORD
19977,RIC,ORD
19977,MSN,ORD
20304,CVG,ORD
19977,SEA,ORD
19977,IND,ORD
19977,CMH,ORD
19977,IAD,ORD
19977,LGA,ORD
19977,ROC,ORD
20304,BNA,ORD
19977,MCO,ORD
19977,ATL,ORD
19977,CMH,ORD
19977,PHX,ORD
20304,CVG,ORD
19977,SFO,ORD
19977,MCO,ORD
19977,DEN,ORD
20304,BNA,ORD
20304,BNA,ORD
19977,DEN,ORD
19977,EWR,ORD
20304,BNA,ORD
19977,IAH,ORD
19977,DEN,ORD
20304,BNA,ORD
19977,MSP,ORD
19977,DEN,ORD
20304,BNA,ORD
19977,CLT,ORD
19977,DEN,ORD
20304,CVG,ORD
19977,PDX,ORD
20304,BNA,ORD
20304,MOT,MSP
20304,FSD,MSP
20304,MOT,MSP
20304,FSD,MSP
20304,FSD,MSP
20304,DLH,MSP
20304,MOT,MSP
20304,MOT,MSP
20304,DLH,MSP
20304,FSD,MSP
20304,MOT,MSP
20304,MOT,MSP
20304,MOT,MSP
20304,FSD,MSP
20304,DLH,MSP
20304,DLH,MSP
20304,MOT,MSP
19977,ORD,PDX
19977,SFO,PDX
19977,IAD,PDX
19977,EWR,SFO
19977,IAH,SFO
20304,DFW,SFO
19977,KOA,SFO
19977,HNL,SFO
19977,DFW,SFO
19977,SNA,SFO
19977,HNL,SFO
19977,DEN,SFO
19977,IAD,SFO
19977,BOS,SFO
19977,EWR,SFO
19977,DFW,SFO
19977,DEN,SFO
19977,MCI,SFO
19977,ORD,SFO
19977,EWR,SFO
19977,PDX,SFO
19977,DEN,SFO
19977,PDX,SFO
19977,SAN,SFO
19977,DEN,SFO
19977,ORD,IAD
19977,PDX,IAD
19977,LAS,IAD
19977,SAN,IAD
19977,BOS,IAD
19977,BOS,IAD
19977,SFO,IAD
19977,ORD,SMF
19977,ORD,SMF
20304,LAX,SMF
20304,LAX,SMF
20304,LAX,SMF
20304,LAX,SMF
19977,ORD,BOS
19977,LAX,BOS
19977,ORD,BOS
19977,SFO,BOS
19977,SAN,DEN
19977,SFO,DEN
19977,LGA,DEN
19977,LAS,DEN
19977,IAD,DEN
19977,SJC,DEN
19977,SJC,DEN
19977,DFW,DEN
19977,ORD,DEN
19977,SEA,DEN
19977,SMF,DEN
19977,SFO,DEN
19977,MCO,DEN
19977,PHX,DEN
19977,BIL,DEN
19977,ATL,DEN
19977,MSP,DEN
19977,IAH,DFW
19977,ORD,MSN
19977,ORD,SNA
19977,IAH,HNL
19977,EWR,HNL
19977,IAD,SAN
19977,IAD,SAN
19977,IAD,SAN
19977,LAX,LAS
19977,ORD,LAS
19977,ORD,LAS
20304,MOB,ATL
20304,SBN,ATL
20304,SBN,ATL
20304,SBN,ATL
19977,DEN,CMH
19977,DEN,SJC
20304,SEA,PHX
