f.airline,a.name
19977,SEA
20304,SEA
20304,SEA
19977,SEA
19977,SEA
19977,SEA
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,EWR
19977,IAH
19977,IAH
20304,IAH
20304,IAH
19977,IAH
19977,IAH
20304,IAH
20304,IAH
19977,IAH
19977,IAH
19977,IAH
19977,IAH
19977,IAH
19977,IAH
19977,IAH
20304,IAH
20304,IAH
20304,IAH
20304,IAH
19977,IAH
20304,IAH
19977,IAH
20304,IAH
19977,IAH
19977,IAH
20304,IAH
19977,IAH
19977,IAH
20304,IAH
20304,IAH
19977,IAH
19977,IAH
20304,IAH
20304,IAH
19977,IAH
19977,IAH
19977,IAH
20304,IAH
20304,IAH
19977,SAT
19977,MCO
19977,MCO
19977,MCO
19977,MCO
19977,MCO
19977,MCO
19977,MCO
19977,MCO
19977,MCO
20304,LAX
20304,LAX
20304,LAX
20304,LAX
19977,LAX
20304,LAX
20304,LAX
20304,LAX
19977,LAX
20304,LAX
20304,LAX
19977,LAX
20304,LAX
20304,LAX
20304,LAX
20304,LAX
19977,LAX
20304,LAX
20304,LAX
20304,LAX
20304,LAX
19977,LAX
19977,LAX
20304,LAX
20304,LAX
20304,LAX
20304,LAX
20304,LAX
20304,LAX
20304,LAX
19977,LAX
20304,LAX
20304,LAX
20304,LAX
19977,LAX
19977,LAX
19977,LAX
20304,LAX
20304,LAX
20304,LAX
20304,LAX
19977,FLL
19977,FLL
19977,ORD
20304,ORD
20304,ORD
20304,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
20304,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
20304,ORD
19977,ORD
20304,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
20304,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
20304,ORD
19977,ORD
19977,ORD
19977,ORD
20304,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
20304,ORD
20304,ORD
19977,ORD
20304,ORD
19977,ORD
19977,ORD
19977,ORD
20304,ORD
20304,ORD
20304,ORD
19977,ORD
20304,ORD
19977,ORD
20304,ORD
20304,ORD
19977,ORD
20304,ORD
19977,ORD
19977,ORD
20304,ORD
20304,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
20304,ORD
19977,ORD
20304,ORD
19977,ORD
19977,ORD
20304,ORD
19977,ORD
20304,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
19977,ORD
20304,ORD
20304,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
19977,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
19977,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
20304,MSP
19977,MSP
20304,MSP
19977,MSP
19977,KOA
19977,PDX
19977,PDX
